arch_id,name,link,categories,notes,num_nodes,num_edges,category_list
a1sEfGVDpEQ,Swiss Post Ltd: Security and Compliance of AWS Accounts at Scale German,https://www.youtube.com/watch?v=a1sEfGVDpEQ,data_ingestion,"Security logs and events are accumulated from various member accounts (the first SecurityHub and GuardDuty)
    into a central set of services (SecurityHub and GuardDuty).
    A lambda reads all the data and sends to consumers after some filtering.
    An S3 bucket holds security policy data (json) and any config updates (policy update) are applied via a lambda.
    The video mentions that StepFunctions are used for auto-remediation but does not elaborate further.",10,13,data_ingestion
JVcKidzqpYY,Aramex: Leveraging AI ML to Enhance Customer Experience,https://www.youtube.com/watch?v=JVcKidzqpYY,"data_ingestion,interactive","Logistics and transportation provider.
    Use ML-based text matching method to manage addresses (descriptive text to XY coordinate).
    UserCompanyDataStream is a source DB.",9,13,"data_ingestion, interactive"
FHdtOtznWuA,"SoftChef: Building AWS Iot Application Using an Innovative, Fully Serverless Architecture (Mandarin)",https://www.youtube.com/watch?v=FHdtOtznWuA,control,"SaaS for IoT firmware deployment.
    Migrate traditional hardware/IoT companies to Cloud.
    Cognito, Lambda, ApiGateway, IoTCore, DynamoDB are under customer's account. This improves the safety (SoftChef cannot see the customer's data).
    The number of IoT devices are at the order of 10k+, which cares load balancing and auto-scaling. This favors the serverless architecture. Meanwhile, when the number of devices is small, the cost is also relatively low.",10,18,control
Gds8hl8dKuo,Fugue: Staying in Compliance by Automating Drift Detection,https://www.youtube.com/watch?v=Gds8hl8dKuo,control,"Infra provisioning to help businesses build infra in a compliant manner. 
    Congiguration manager - drift detection and enforcement
    s3 is used to store the infra mapping and the declared policies
    This runs in customer's AWS Account
    Scan infra config at a regular interval to detect the config drift",8,12,control
u3ZwnulzLnU,SonarSource: Automatic Code Analysis in the Cloud with AWS,https://www.youtube.com/watch?v=u3ZwnulzLnU,data_ingestion,"",8,13,data_ingestion
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,https://www.youtube.com/watch?v=1aYoIZvabbk,control,Looks at SQS for resuming jobs in case of spot instance termination.,6,5,control
JiWHomdh1oI,Datacoral: Using Serverless to Create Data Pipelines,https://www.youtube.com/watch?v=JiWHomdh1oI,data_ingestion,"data flow frequency every 5 mins, needs lambda for parallel compute at every 5th minute data transfer. a lot of batching. metrics are being monitored.use batch requests to parallelize things. moving over 500 billion records per month from the customer DB to RedShiftreliability: rerun jobs",7,11,data_ingestion
bqZWYmRAka0,DBS Bank: Architecting Quant Pricing Engine for Performance with Amazon ElastiCache,https://www.youtube.com/watch?v=bqZWYmRAka0,compute_intensive,"",5,5,compute_intensive
c-1GXhOOOww,Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly,https://www.youtube.com/watch?v=c-1GXhOOOww,interactive,"ticketing platform. more than 40 tenants on it. like nyc ferry. app sync - graphql. multitenacy by DynamoDB.
    partition keys used for each tenant. sometimes lambda is skipped. app sync directly hits lambda",9,16,interactive
7dtomip_VXc,Akatsuki: Building Stable and Scalable Large Scale Game Servers with Amazon ECS (Japanese),https://www.youtube.com/watch?v=7dtomip_VXc,interactive,"mobile gaming industry. 1000 containers being used. backend. they develop servers for the game. millions of users. heavy traffice, need autoscaling.EC2 instances with a startup event by Cloudwatch. Uses lambda to control number of ec2 instances. scale in 2 mins after detection.concurrent connectivity. million requests per minute - high load. 700 containers.5 different kinds of stress tests. performance, overload, scaling, fallover, long-run.have an auto-recovery system in place. handles unprecedented traffic.further improvements: automatic stress tests.",8,11,interactive
FftalZUxyiM,CEPSA: Finding the Best Internal Talent Using Amazon Neptune Spanish,https://www.youtube.com/watch?v=FftalZUxyiM,data_ingestion,"Cepsa is an energy company. Trying to leverage cloud to find the best talent for internal openings.
    In the video, they don't tell the source of the data, but it is likely just manually entered as employees join the firm.
    A data lake is maintained for employee data.
    The data is loaded to DynamoDB.
    StepFunctions are used to convert loaded data to a graph.
    ApiGateway is used to access both Neptune and DynamoDB to perform graph based analysis to match openings to employees.
    ApiGateway supports a web-app.",9,14,data_ingestion
XgJUsBDQILQ,Klika Tech and Stonehenge: Smart Apartments with Alexa  AWS IoT Special Episode,https://www.youtube.com/watch?v=XgJUsBDQILQ,data_ingestion,"UserConsumerIoT is a custom board running Amazon Free RTOS
    IoT device communicates with IoT core using MQTT with certificate-based authentication
    IoT Core has a shadow service that remembers the state of the device
    IoT Core has a device registry that stores information like location of device, etc.
    Reason for storing data in both ElasticSearch and IoTAnalytics is that the former provides real time data access, while the latter provides a more aggregated view

    The company also uses AWS for enterprise backup and restoration. 
    They also nightly backup financial data to a SQL instance for future presentation.",9,8,data_ingestion
nvhG60gFbso,JFrog: Distribute Software Artifacts securely using SaaS Solutions,https://www.youtube.com/watch?v=nvhG60gFbso,interactive,use of secure components for private artifactory accessLess public components - less latencyRunning everything on one region - so cost for traffic is less expensiveAvailable on AWS Market place,13,16,interactive
l0mvXogANE4,Smadex: Serving Billions of Ads with Amazon ElastiCache for Redis (Spanish),https://www.youtube.com/watch?v=l0mvXogANE4,"data_ingestion,interactive",1 million requests per second. Spot instances for cost optimization. 3 geographical zones. 600 instances running. 1 hour of events in redis.partitioned per minute.,8,14,"data_ingestion, interactive"
K27WjYwyqw8,Next Caller: Phone Caller Fraud Detection with AWS Sagemaker,https://www.youtube.com/watch?v=K27WjYwyqw8,interactive,"",8,11,interactive
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,https://www.youtube.com/watch?v=G07keU4g-LU,data_ingestion,"1250 restaurants, 200K pizzas delivery in 30 min. Responsible to deliver on time. Trying to solve scale - 1500 orders per min during peak hours. Solving data availability - data latency, weeks before the insights were available to campaigning team. Hot curated data(past 5-6 months) is moved from S3 to redshift. Redshift spectrum transparently joins the data and gives it to user in case data is not present in Redshift. Business insights that are triggered on adhoc basis are served by Athena as redshift has only 5-6 months old data. Future Plans - More data sources need to be plugged in, Sage maker to power forecasting and personalization engines to enhance consumer experience.",10,21,data_ingestion
kD57QUn5myc,AWS Solutions:  AI Powered Speech Analytics for Amazon Connect,https://www.youtube.com/watch?v=kD57QUn5myc,other,"DynamoDB, as a NonSQL database, enables the mapping between customer and call transcription
    Translate provides real time translation (helpful for call centers distributed geographically)
    Comprehend provides real time context (eg. if customer satisfied)",10,12,other
pwxhclKcMas,Depop: RealTime Data Ingestion and Analysis,https://www.youtube.com/watch?v=pwxhclKcMas,"data_ingestion,compute_intensive","An inhouse log/event processing system. All of company's events (user interactions, internal events) are received in a Kinesis stream.
    The first lambda classifies the data based on topic and puts into different streams.
    Ultimately data is transformed using Glue and stored to S3.
    The second lambda triggers every 4 hours and athena then processes the stored logs along with EMR.",10,13,"data_ingestion, compute_intensive"
3WgTBTDlQN8,FanFight: Building a Realtime Fantasy League Gaming Platform on AWS,https://www.youtube.com/watch?v=3WgTBTDlQN8,"data_ingestion,interactive","Fantasy games platform where people can create and join contests
    Last month 1.5m new registered user, every match 0.5m users create their teams
    Plan to use Apache Spark Streaming with EMR; plan to use DynamoDB",9,14,"data_ingestion, interactive"
JG5p-i8Cr2E,ZS Associates: Building a SelfService Enterprise Data Engineering Platform,https://www.youtube.com/watch?v=JG5p-i8Cr2E,control,Millions of API requests every month and 100s of data access requests per month. Platform services are running on EKS and the application logic in EMR. Data governance automation reduced the time to market. Reduction in time for building data engineering pipelines by 30-40%. Cost controlling using auto scaling capabilities.,11,24,control
G5tNCpmD2uQ,Voodoo: Perform Recommendations Using Machine Learning (French),https://www.youtube.com/watch?v=G5tNCpmD2uQ,interactive,leading game company. challenges? monetize users and acquire them. maximize the chances that users install their apps. S3 is like their data lake. they dont need devops for this. data engineers focus on optimization.,9,12,interactive
INog0_9tCtY,Threat Stack: Proactive Risk Identification and Real-time Threat Detection across AWS,https://www.youtube.com/watch?v=INog0_9tCtY,data_ingestion,"scale: 60B events/day. agent in customer's instance. separate pipelines forreal-time and long-term storage/analysis. Different serialization/storage formats: json->Avro->gzipped.Also, different data is stored in different places, no duplication here.Bucket policy permissions to let customers fetch data. EC2 service specifically to orchestrate EMR.Mentions benefits of parquet. Mentions dogfooding.",14,19,data_ingestion
XpFNznmRoQ0,Healthfirst: Wrangling Data the Event Driven Way,https://www.youtube.com/watch?v=XpFNznmRoQ0,data_ingestion,"health insurance. 1.4 million users in the medicaid and medicare space. different source of info. claim, member etc. real time transactions coming in. 40TB of data coming in.previously there on AWS too. cloudformation new feature. cloudformation is the kicking off factor.good usage as three different flow. reduces cost.why segment s3? data quality and integrity. now Ml also. use sagemaker.",12,16,data_ingestion
az-C2c33trQ,Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,https://www.youtube.com/watch?v=az-C2c33trQ,data_ingestion,"adTech company for optimize ad spending
    Separate spark clusters for each customer and each job - 100
    Separate spark clusters for resiliency, independent job failures
    use of spot instances - cost efficient
    Same data in both RDS (for fast data access) & RedShift(for flexibility)
    Architecture designed and deployed in 3 months during MVP phase, scale as customers grow",8,17,data_ingestion
aOY6YCpcjz8,HubSpot: Task Queueing System Built on top of Amazon SQS,https://www.youtube.com/watch?v=aOY6YCpcjz8,compute_intensive,"Asynchronous Task Queuing System. they have built a fallback system incase SQS in unavailable! That's weird/interesting. talks about why used structured (SQL). scale: 6500 tasks/sec.isolates/shards across each SQS, datastores. talks about QoS: skips pipeline steps if getting late.",11,14,compute_intensive
KywvGM6HVXI,Capillary Technologies: Building an OmniChannel Data Ingestion Platform,https://www.youtube.com/watch?v=KywvGM6HVXI,data_ingestion,"10M events in a day to 10M events in an hour during burstFuture plans of using step functions, move from k8s cluster to EKS",11,22,data_ingestion
F4KDOGNpSoI,Pernod Ricard: Shortening URLs on a Global Scale with Low Latency French,https://www.youtube.com/watch?v=F4KDOGNpSoI,"data_ingestion,interactive","Low latency URL shortening service.
    Video describes both the query, log management, and admin pipelines.
    They started with a proprietary solution but then built their AWS based architecture which is cost efficient.
    Transformation Lambda: converts IP to country, parses data like type of device, etc.",14,19,"data_ingestion, interactive"
hbz63Ve-eIY,Wix: Serverless Platform for End-to-End Browser Testing using Chromium on AWS Lambda,https://www.youtube.com/watch?v=hbz63Ve-eIY,control,serves 5% of the worlds total websites. 700 million unique users per month. unique deployments - 4000. need scalable testing. can use ci/cd or laptop as starting point. MAX IS 700 test lambdas concurrently. 2M executions/week. use pptr and chromium. monitor using cloudwatch. Runs BROWSER on Lambdas!,6,13,control
unFVfqj9cQ8,Contino: Measuring and Communicating The Business Impact of Landing Zones with Flight Controller,https://www.youtube.com/watch?v=unFVfqj9cQ8,data_ingestion,"Digital transformation consultancy.
    It takes <20 seconds from events being generated to being visualized in Grafana.
    Care about extensibility; just plug into event bridge and add more transformation inside Lambda.",8,7,data_ingestion
RU__HBEMDvQ,BookMyShow: How BMS Scaled Data Analytics to Handle 28M Ticket Sales with Modern Data Architecture,https://www.youtube.com/watch?v=RU__HBEMDvQ,data_ingestion,"UserCompanyDataStream: Transition, CIM, clickstream, product data.
Scale: 250M users, 5B page views/month. 28M tickets sold in April 2021.
Data sources: transition data, CIM data, clickstream data, product data.
Data pipeline: EMR -> S3 -> Glue -> EMR -> Redshift -> QuickSight
ML: SageMaker
Cost: 70% less than on-prem.
Migration: 4 months.",9,10,data_ingestion
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,https://www.youtube.com/watch?v=6EUknQqaV1w,data_ingestion,supporting 3 major cloud providers. billions of events per day. Nepture because it provides read scale-out also because it is schema less. Monitoring 50 million resources.,9,11,data_ingestion
FfSNnH2bbNc,Carbon by Indigo: Carbon Credits for Regenerative Agriculture,https://www.youtube.com/watch?v=FfSNnH2bbNc,"data_ingestion,interactive","satellites from NASA.
    5PB of data stored.
    100GB of data per day. addition.

    autoscale EC2 to deal with stream of data.
    WHY S3: Range queries.
    WHY Serverless: most processing on the fly instead of preprocessing.",8,19,"data_ingestion, interactive"
mq3XuoN0rUM,ZS Associates: Intelligent Process Automation Using AWS AI Services,https://www.youtube.com/watch?v=mq3XuoN0rUM,compute_intensive,"Requirement: tailor the privileges and policies for each customer/team.
    EC2 runs ""bots"": Automation Anywhere, Blue Prism, and UiPath.
    Triggered either manually or by uploading config to S3.
    they have defined custom rules/language for the bots.
    Use vpc peering to communicate with external apis while ensuring compliance.",9,13,compute_intensive
Q6r_QbYXFpg,SynchroNet: Extending User Automation and Amazon WorkSpaces Provisioning with AWS Step Functions,https://www.youtube.com/watch?v=Q6r_QbYXFpg,other,"SynchroNet: Consulting partner that helps with provisioning and automation of Amazon workspace
    Administrator can setup workspace provisioning, end users can do self-service on workspace
    When starting workspace, the step function waits until the workspace is up and healthy before it sends invitation to user
    Scale: thousands of workspaces",11,9,other
Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,https://www.youtube.com/watch?v=Yju3yReAQtc,interactive,"The architecture has multi regions of S3, API Gateway, Lambda and DynamoDB.
    Motivation is disaster recovery, satisfying different regulatory requirements in different countries, and serve customers in different geographical regions cost effectively
    DynamoDB is chosen because of easier data manipulation
    AWS ElasticSearch is used for faster lookups, faster filtering. The logging functionality is offloaded to ElasticSearch.
    Machine learning is used to detect anomalies and threats (not included in graph)
    This is control plane, and sends configuration to external cluster.",7,7,interactive
cnZeOytEkIM,Property Finder: Running Production Workloads with Amazon EKS on 100% Amazon EC2 Spot Instances,https://www.youtube.com/watch?v=cnZeOytEkIM,interactive,20 instances and 2000 containers. micro service architecture. 100 percent Spot instances in multible availability zones. Failure handling using event bridge. Save 50 percent costs with spot instances compared to on-demand instances. use manage node groups to get rid of eventbridge so AWS takes care of everything. Datadog for monitoring.,6,6,interactive
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,https://www.youtube.com/watch?v=DrkaU99l9S8,data_ingestion,"",12,13,data_ingestion
KzJKdUZ3Ba4,PwC: Streamlining Asset Tracking with Amazon Managed Blockchain,https://www.youtube.com/watch?v=KzJKdUZ3Ba4,interactive,"innovative team of pwc. blockchain, ai focus. use amazon managed blockchain. feedback from consumers : very limited transparency in supply chain. maintain privacy and data standards. graph: unusable. only interaction b/w amazon blockchain to sap.",4,6,interactive
wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith",https://www.youtube.com/watch?v=wjtSHyENv0I,interactive,"Gradual migration from a java monolith to python serverless.
For functionalities that are not yet migrated, lambda makes API calls to the monolith.
Cost: able to shut down 25 on-prem servers.",8,14,interactive
j9OZ-7aCAyA,Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,https://www.youtube.com/watch?v=j9OZ-7aCAyA,data_ingestion,Step functions - some actions would exceed Lambda execution window and need tight coordination. Provide one cohesive vision of data produced at different granularities and schemas. Pipeline config(in any format) is stored in dynamo and triggered using Lambda. Scale up based on the workload - cost savings up to 50%. Graph DB to process complex data and store the results in S3(cheaper) and doing queries using serverless Athena.,9,15,data_ingestion
IP03SkGbP-U,Astana International Exchange: Running a Stock Exchange in the Cloud,https://www.youtube.com/watch?v=IP03SkGbP-U,interactive,"Deployed in 2 regions for high availability (crucial for stock market). Failover process takes 30 sec and 2-3 min with business approvals; upon failover, rounte53 send all traffic to the second region. This video describes how they achieved HA rather than explaining the request flow. Not replicating anything in Dynamo as they use global tables (already present across multiple regions). EC2 replication using lifecycle manager. RDS Replication using replica service. ECS replication using ECR by maintaining same image versions in another region.",8,7,interactive
lcLw-Le_tXQ,Bitmovin: Distributed Video Encoding on AWS,https://www.youtube.com/watch?v=lcLw-Le_tXQ,compute_intensive,"distributed video encoding. company provides infra for video web. they have videos stored in S3 
    buckets which are fetched by the master node upon being triggered by a scheduler which schedules events based on requests from backend.
    this video is then pulled in from s3 and passed onto the kubernetes cluster which uses EC2 spot instances. 
    only work on small chunk of videos i.e splicing. to avoid loss. after processing done, merge the outputs, put on customers s3 bucket.
     cdn then passes it on to users.",6,7,compute_intensive
jpewc52m4tg,Viz ai: Improving Outcomes for Stroke Victims Using Artificial Intelligence Special Episode,https://www.youtube.com/watch?v=jpewc52m4tg,compute_intensive,"Fast processing of CT scanned images of stroke patients and classification via machine learning.
    Security is important as healthcare data is involved.
    A number of security services are shown in the graph but their exact interactions/connections are not mentioned.
    Different phases are done in different autoscaled EC2 instances so that cost can be managed -- some phases don't need a lot of compute so lighter images can be used.",17,14,compute_intensive
vp8oPiHN4cA,Novartis - Buying Engine: AI-powered Procurement Portal,https://www.youtube.com/watch?v=vp8oPiHN4cA,"data_ingestion,interactive","",14,19,"data_ingestion, interactive"
BPvr0qWpJlA,ContactSuite: Automated Omni-Channel Service Desk Workflow,https://www.youtube.com/watch?v=BPvr0qWpJlA,interactive,"",10,9,interactive
f5EJBUfGZtw,Expedia: Salesforce Integration with AWS,https://www.youtube.com/watch?v=f5EJBUfGZtw,data_ingestion,running on cloud.. there is batch processing... real time integration w salesforce.. 500-800m rows on a daily basis.. bottom sec - 5-10m events/day.. easily scalable,10,8,data_ingestion
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,https://www.youtube.com/watch?v=-S-R7MWRpaI,"data_ingestion,interactive","",8,11,"data_ingestion, interactive"
w-qGSyzDL6g,Zillow: Near Real-Time Natural Language Processing (NLP) for Customer Interactions,https://www.youtube.com/watch?v=w-qGSyzDL6g,data_ingestion,saving upto 75 percent on compute costsBatch + Lambda to scale ECS,12,16,data_ingestion
BZ32w0SSAoY,PixelStrings by Cinnafilm: A Flexible & Scalable Platform for Video Audio Optimization & Conversion,https://www.youtube.com/watch?v=BZ32w0SSAoY,compute_intensive,Video processing company.,7,19,compute_intensive
Jz2RPRhF6Fs,Accolade: Security and Operational Excellence in Healthcare LIVE,https://www.youtube.com/watch?v=Jz2RPRhF6Fs,interactive,"Healthcare data management. Security and authorisation is important.
    This video describes how they load balance between their cloud api and legacy api + perform authorised data access.",10,13,interactive
Cgv0kfp_6xQ,Snap: Journey of a Snap on Snapchat Using AWS,https://www.youtube.com/watch?v=Cgv0kfp_6xQ,interactive,"cost and data rich video. snapdb instead of using dynamodb directly.
    300M daily active users.
    900 clusters of EKS, each has 1000+ instances.
    Reduce p50 latency of sending a snap by 24%.",10,14,interactive
E8wYXtvGy5k,Freightways: Delivering 50M packages with Serverless Tracking Solution,https://www.youtube.com/watch?v=E8wYXtvGy5k,interactive,talks about scale. 500-1500 req/min. talks about why they used Dynamodb?stop using SNS/SQS alternative because it did not scale. why use multiple SQS.fast latency 99% of times. talks about perf improvement,10,12,interactive
Wk9mCHyjtBU,Veracode: Eliminating Application Security Bugs Through DevSecOps at Scale,https://www.youtube.com/watch?v=Wk9mCHyjtBU,"compute_intensive,interactive","Static Analysis service. The user uploads binary/code to github / gitlab / etc. from where it gets uploaded to Veracode platform.
    Flow 1: a scheduled lambda starts up EC2 instance which pulls uploaded binaries and performs static analysis.
    Flow 2: a scheduled lambda pulls information from online sources (github, gitlab, jira tickets, etc.) and then ML is used to identify issues and vulnerabilities.",10,16,"compute_intensive, interactive"
hMK2NJ-q9nc,WarnerMedia: Cloudbased Linear Playout System,https://www.youtube.com/watch?v=hMK2NJ-q9nc,compute_intensive,"Videos uploaded to S3 using Aspera
    Videos in S3 transferred to EC2 after registered with Evertz Mediator
    There are three EC2 instances, each storing 10 channels in primary-backup fashion
    Files in EC2 are played out through Evertz Playtime
    Auto changeover switch used to switch between Techwood playout, CNN playout and cloud playout on premise
    CloudFormation used to create a repeatable process of deployment (40 YAML files now)
    The system achieves 5-9 availability
    Using Cloudbridge for latency and connection between AWS and on-premise
    Future: switch between live and pre-recorded content; do compression in cloud rather than on-prem",6,5,compute_intensive
8ZRWzn0G39g,Replicon: MultiTenant SaaS Solution with Bring Your Own Key BYOK Encryption for Enterprises,https://www.youtube.com/watch?v=8ZRWzn0G39g,interactive,"Project management SaaS company.
    Show two types of customers: normal users and enterprises; enterprises have more security/compliance concern and thus, use its own KMS. Normal users' data is stored in a multi-tenant Aurora cluster, while enterprises' data is stored in a dedicated Aurora cluster.
    Business logic is running inside a mix cluster of EC2, ECS, and EKS.",12,38,interactive
5EmA67lSJEs,Extreme Reach: The AdBridge Platform on AWS Handles 80%+ of all Commercials in the US,https://www.youtube.com/watch?v=5EmA67lSJEs,"compute_intensive,interactive",mentions scale. how long they've been on cloud (2009). 100s of sqs.,11,20,"compute_intensive, interactive"
WxMBuBBIwpI,NextRoll: Driving OpEx Efficiency for Ad Bidding Engines LIVE,https://www.youtube.com/watch?v=WxMBuBBIwpI,data_ingestion,"150B web requests
    600TB data generated per day
    Used to use reserved instances (but expensive and fixed with provider)
    EC2 uses SpotFleet and is distributed across multiple regions
    Upload 17 million files each individual day to S3
    Planning to move to EC2 Fleet",6,7,data_ingestion
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,https://www.youtube.com/watch?v=A4Lfk1Zz1dE,control,1000s of customers. Use AWS Fully managed services to scale. Making it easy for customers to use SaaS. It describes how they are predicting the SPOT instance interruption and triggering replacement.,8,5,control
SC6n6J8Bi58,EMnify: Building a Cloud Native Mobile Network for IoT Leveraging AWSs Global Infrastructure,https://www.youtube.com/watch?v=SC6n6J8Bi58,interactive,"Note that the IOT device is actually an EMnify SIM Card equipped device.
    There are two main flows.
    First, is when the device first connects, EMnify looks up configuration and creates a tunnel between the device and the user's backend application.
    Second, the device talks to the backend application via EMnify which ensures security and other networking features.
    Since they want global coverage, they interoperate with 540+ of network operators. The connectivity is achieved via IPX which is a global private network for roaming.
    They are using DirectConnect to have reliable connectivity with IPX across regions.",11,15,interactive
66h7DrOEF5k,ABEJA: Building a Machine Learning Platform that Fully Utilizes Container Technologies Japanese,https://www.youtube.com/watch?v=66h7DrOEF5k,compute_intensive,"Platform for ML Serving and Training.
    They use Kubernetes to manage EC2 instances which are equipped with GPUs for training.
    Inference has 3 important features.
    1. Blue Green deployment -- so that model quality is not degraded with new deployments.
    2. Service Discovery -- users can access dynamo db to discover services.
    3. Spot Instances -- unclear how they are utilised.",9,9,compute_intensive
1SwHH7qQ6Pc,Advance Local: Automating CrossTeam Collaboration with AWS Lambda,https://www.youtube.com/watch?v=1SwHH7qQ6Pc,"interactive,control","SalesForce -- contains all the product information as well as creative information required to create an ad.
    Frontend app for external users (clients) is hosted on S3.
    Cognito is used to provide SSO and security.",10,13,"interactive, control"
2XVgpMwY5iE,Keen Eye: Building Deep Learning Models for Digital Pathology Image Analysis,https://www.youtube.com/watch?v=2XVgpMwY5iE,data_ingestion,5TB of data per project30 times faster ML trainingcost reduction upto 30%need AWS to be HDS compliant - data needs to reside in same region,7,12,data_ingestion
Kebb0LOVC28,Openfit: ChatOps with Slack and AWS Lambda,https://www.youtube.com/watch?v=Kebb0LOVC28,control,"Workout, Nutrition and Wellness platform. Code pipeline for CI/CD. ECR to store artifacts. Slack notification at every step. The video just describes how they are making use of Slack notifications to make approval process easy. chat ops model",9,21,control
ktonI7J3kLY,Grabyo: Using Serverless for Smart Capacity Provisioning and Orchestration,https://www.youtube.com/watch?v=ktonI7J3kLY,"interactive,control",cloud native video platformNeed for capacity provisioninguse over 30 managed servicesServerless orchestrationMonitoring lambdas are triggered every minute to check for under provision or over provisioning of resources,5,8,"interactive, control"
JcHSFIZMYHc,CleverTap: Building a Fully Version Controlled Infrastructure as Code on AWS,https://www.youtube.com/watch?v=JcHSFIZMYHc,control,scale: 10B data points. includes a manual verification not shown in video. mentions benefits of automation: documenting infra changes for infra. no one has write access to AWS.  this helps with bringing up isolated environments for compliance reasons.,8,9,control
IV3KuMGVNXI,Deep Instinct: Collecting RT Statistics and Applying RT Decisions with Lambda@Edge,https://www.youtube.com/watch?v=IV3KuMGVNXI,interactive,deep learning to cybersecurity. to prevent zero data attacks. real-time statistics - cloudfront not good for it. why dynamo db? easy simple to use.,7,17,interactive
